movie_id,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,director,stars
796366,Star Trek,2009.0,7.9,575035,2117.8,10,145,64,150000000.0,385680446,322,6.20012583253204
950739,Arn: Riket vid vägens slut,2008.0,6.6,7571,1550.6,32,82,9,25152540.0,8787136,642,6.155192676201451
87884,"Paris, Texas",1984.0,8.1,89409,1574.2,158,130,132,1561257.0,2206121,850,6.175197212785019
3094252,Echoes of War,2015.0,5.4,1155,847.4,197,224,64,150000.0,7615,449,6.162390153852662
10477950,Hjelperytteren,2019.0,4.5,26,158.8,99,190,126,922955.0,5159,339,6.148436079408389
2190367,O Som ao Redor,2012.0,7.2,7193,1795.4,195,35,124,361836.0,467491,471,6.155874595409089
6143568,The Humanity Bureau,2017.0,4.7,7515,596.8,44,57,64,4300000.0,58970,695,6.167836440946732
171359,Hamlet,2000.0,5.9,9041,1068.4,191,224,64,2000000.0,2046433,548,6.169507056364205
84805,Tootsie,1982.0,7.4,97191,2377.8,116,224,64,21000000.0,177200000,780,6.1626543336828
98330,Signs of Life,1989.0,6.1,354,1184.8,158,224,64,5000000.0,95836,381,6.149667077945753
880458,Stóra planið,2008.0,5.6,353,646.4,99,152,107,628640.0,256210,612,6.159288508897576
92042,Tai-Pan,1986.0,5.6,1563,708.2,48,224,64,25000000.0,4007250,172,6.173617606611912
2193782,Do Not Disturb,2012.0,4.8,658,562.4,116,104,147,6086990.0,832150,870,6.160216168183729
437179,See No Evil,2006.0,5.1,25755,688.8,40,15,64,8000000.0,18707966,287,6.153093149158603
4862468,Da hua xi you 3,2016.0,3.5,373,188.0,202,40,187,20000000.0,53306108,355,6.164575987618206
77248,Blue Collar,1978.0,7.5,7210,2017.6,143,224,64,1700000.0,6521083,635,6.167965341495558
3351004,Un matrimonio da favola,2014.0,5.6,452,741.8,99,165,174,1826097.0,2374155,114,6.161881092071186
422861,The Oh in Ohio,2006.0,5.5,5996,750.4,116,224,64,5000000.0,648183,95,6.167395876060809
3213204,Ishq Garaari,2013.0,6.5,98,1594.25,138,155,196,610515.0,2055,196,6.1574348001215755
91934,Shanghai Surprise,1986.0,3.2,4960,300.2,55,221,64,17000000.0,2315683,365,6.1668557390105
240510,The Four Feathers,2002.0,6.5,32444,1477.0,5,222,64,35000000.0,29882645,746,6.169082195331303
89881,Ran,1985.0,8.2,111300,2183.8,36,121,177,11500000.0,4164283,17,6.17276920425778
137363,Arlington Road,1999.0,7.2,80856,2224.0,147,224,64,31000000.0,41067311,531,6.158171853528249
6083534,Güvercin,2018.0,6.4,477,1642.8,158,220,208,365219.0,4988,80,6.16213158353127
2210769,"Liza, a rókatündér",2015.0,7.6,8242,2458.0,127,149,170,1525949.0,540928,476,6.162176218765257
100196,Mountains of the Moon,1990.0,7.2,3389,2024.8,65,224,64,19000000.0,4011793,99,6.152382898998888
120102,Seven Years in Tibet,1997.0,7.1,127679,2197.8,54,222,91,70000000.0,131457682,345,6.168420910459814
3203606,Trumbo,2015.0,7.5,75911,2640.2,88,224,64,15000000.0,11430025,341,6.1654256034664545
465670,Wilderness,2006.0,6.1,9283,1374.4,210,221,64,4030785.0,566098,506,6.146611295053557
95271,Halloween 4: The Return of Michael Myers,1988.0,5.9,43809,1385.2,216,224,64,5000000.0,17768757,212,6.162837205420087
